No	City	State	Population
343	Sherman	TX	43,319
344	Texarkana	TX	37,333
345	PortArthur	TX	54,010
346	Seattle	WA	737,015
347	Spokane	WA	222,081
348	Tacoma	WA	216,279
349	Vancouver	WA	178,284
350	Bellevue	WA	148,164
351	Kent	WA	130,038
352	Everett	WA	110,840
353	Renton	WA	102,300
